No.	ID	内容	时间	时间进度条	弹幕热度
15265	liamo pu	舒服了	4:17:6	15426.467	1.730 
15266	龙骑士の喵	来吧	4:17:7	15427.244	1.772 
15267	J Y	继续推主线吧	4:17:7	15427.272	2.030 
15268	x6yesx6	哈哈哈哈哈哈哈	4:17:7	15427.552	2.742 
15269	杨晟	死！	4:17:7	15427.946	2.491 
15270	j fan	《来吧》	4:17:8	15428.983	2.012 
15271	chiyuan zou	“来把”	4:17:9	15429.122	2.046 
15272	soap ξ	惨。。	4:17:9	15429.369	2.046 
15273	Ben Ma	辐射-新维加斯，3和4都玩过，还是新维加斯是我的中年回忆…现在已经中老年了	4:17:9	15429.817	2.055 
15274	razor back	来吧?	4:17:10	15430.964	1.743 
15275	萝菽菽	这怪打不过的	4:17:11	15431.382	2.035 
15276	shuang li	被人堵到角落一顿圈踢	4:17:11	15431.383	2.416 
15277	紫薯	信仰战吗	4:17:11	15431.661	2.278 
15278	划水的西瓜君	哈哈哈哈哈哈哈哈哈哈	4:17:11	15431.777	2.367 
15279	all kill	清奇的思路	4:17:12	15432.225	2.337 
15280	瀧角散	伤害比碎星高	4:17:12	15432.389	2.936 
15281	王郁结	翻滚 涂抹均匀	4:17:12	15432.417	3.035 
15282	lo achi	跑就对了，别滚	4:17:12	15432.727	2.978 
15283	契	技术主播	4:17:12	15432.807	3.344 
15284	我发超可爱呢	这也太快了	4:17:13	15433.685	3.675 
15285	发定喜欢钻研的小朋友	来？	4:17:13	15433.712	4.292 
15286	拥抱	命运的死胡同	4:17:14	15434.508	3.200 
15287	吴小白	你啥都没拿呢	4:17:14	15434.799	3.187 
15288	Issac Chen	打不死的	4:17:15	15435.167	2.950 
15289	all kill	背水一战	4:17:15	15435.68	2.894 
15290	磐石	自信一对三	4:17:15	15435.68	3.039 
15291	绵绵	这里可以受苦很久的	4:17:16	15436.043	2.758 
15292	tengwei fu	这不是让你打的地方的	4:17:17	15437.478	2.105 
15293	萌发	前面这些不用打	4:17:18	15438.042	1.910 
15294	一发老公	非要走到角落给别人打	4:17:18	15438.237	2.197 
15295	J Y	没了	4:17:18	15438.766	1.979 
15296	凌乱的浮尘	“来吧”	4:17:19	15439.353	2.064 
15297	猫狸君	刚刚你边上有个箱子	4:17:21	15441.054	1.599 
15298	du kevin	这里其实没啥	4:17:21	15441.222	1.652 
15299	masaya yaguchi	碎星哭了	4:17:23	15443.316	1.310 
15300	giantdot	哈哈哈哈哈	4:17:23	15443.62	1.259 
15301	chiyuan zou	要打boss才能拿	4:17:25	15445.246	1.087 
15302	划水的西瓜君	还有	4:17:26	15446.143	1.154 
15303	曾珂	不用打	4:17:29	15449.259	0.892 
15304	蟑螂	好东西在boss手里	4:17:32	15452.008	0.726 
15305	吴小白	一个有用的都没拿	4:17:32	15452.171	0.746 
15306	小喂狗	寶箱還沒開	4:17:32	15452.567	0.757 
15307	lo achi	你就只拿了一个鸡爪而已	4:17:33	15453.353	0.813 
15308	Paul Wu	？？	4:17:33	15453.683	0.803 
15309	划水的西瓜君	刚刚那个箱子可以拿的	4:17:35	15455.409	0.827 
15310	一发老公	好跳	4:17:35	15455.437	0.846 
15311	JAMES ZHU	？？？	4:17:35	15455.969	0.933 
15312	kq ch	？？？？？	4:17:36	15456.447	0.970 
15313	猫狸君	？？？	4:17:38	15458.246	1.113 
15314	孤独时代的白云苍狗	全是尊腐骑士和红狮子骑士，还有毒池，就是让你跑酷的	4:17:38	15458.624	1.511 
15315	曾珂	还没拿到	4:17:38	15458.685	1.535 
15316	划水的西瓜君	哈哈哈哈哈哈哈哈哈	4:17:38	15458.961	1.564 
15317	发定喜欢钻研的小朋友	？	4:17:39	15459.355	1.666 
15318	龙骑士の喵	想不开了？	4:17:39	15459.908	1.606 
15319	夏染秋 Ace	？？？？？？？？	4:17:41	15461.047	1.774 
15320	瀧角散	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	4:17:41	15461.187	1.739 
15321	tengwei fu	啊啊啊啊啊啊啊啊	4:17:41	15461.354	1.857 
15322	契	无牵无挂	4:17:41	15461.516	1.973 
15323	红烧雪梨-	？	4:17:41	15461.738	2.864 
15324	磐石	这回真没了	4:17:42	15462.184	2.809 
15325	Haonan Zhou	有一个传说中的骨灰	4:17:42	15462.549	2.588 
15326	Albert Knight	所以跳了	4:17:43	15463.272	2.320 
15327	孤独时代的微醺	箱子	4:17:43	15463.272	2.553 
15328	tengwei fu	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	4:17:43	15463.49	2.792 
15329	Ben Ma	哈哈哈，有点像上古卷轴呢	4:17:44	15464.245	3.127 
15330	自动登记	？？？？？？	4:17:44	15464.245	3.270 
15331	Null None	终于打过了	4:17:44	15464.456	3.224 
15332	杨晟	无牵无挂？？？	4:17:45	15465.523	2.496 
15333	du kevin	？	4:17:46	15466.129	2.277 
15334	Hua HAN	叫声很好听 谢谢	4:17:46	15466.361	2.394 
15335	Issac Chen	？？？？	4:17:47	15467.311	2.100 
15336	tengwei fu	好惨的尖叫	4:17:47	15467.365	2.443 
15337	石陈大海upup	有boss	4:17:47	15467.988	2.120 
15338	绵绵	打完BOSS给传说骨灰	4:17:48	15468.182	2.131 
15339	tengwei fu	钱	4:17:48	15468.857	2.168 
15340	王郁结	说完就重开了	4:17:49	15469.966	1.748 
15341	tengwei fu	你的钱	4:17:50	15470.837	1.567 
15342	孤独时代的小瓜皮	？？？？？、	4:17:51	15471.284	1.736 
15343	You K	碎星：我输给什么了？	4:17:53	15473.653	1.329 
15344	阿民台灣	飛飛在天	4:17:54	15474.139	1.286 
15345	本一帅儿	好跳	4:17:54	15474.258	1.439 
15346	游离子	？？？？	4:17:58	15478.701	0.882 
15347	zikun sang	就这只树灵那个骨灰还叫好东西？	4:17:58	15478.839	0.922 
15348	愛電玩	傻不傻	4:17:59	15479.09	0.917 
15349	Null None	所以，那是最终boss么	4:18:5	15485.928	0.586 
15350	masaya yaguchi	这要是打过女武神 得有多狂	4:18:9	15489.583	0.510 
15351	绵绵	打BOSS给传说骨灰	4:18:10	15490.365	0.512 
15352	萝菽菽	不要犹豫	4:18:11	15491.678	0.490 
15353	Null None	哈哈哈哈	4:18:12	15492.679	0.526 
15354	Hua HAN	哈哈哈	4:18:12	15492.974	0.531 
15355	wu gama	你从离箱子一厘米的地方走过都不开	4:18:13	15493.249	0.527 
15356	孤独时代的微醺	哈哈	4:18:14	15494.869	0.619 
15357	龙骑士の喵	hhhhhhhhhh	4:18:15	15495.063	0.616 
15358	Haonan Zhou	往上面走	4:18:15	15495.311	0.616 
15359	瀧角散	？	4:18:15	15495.452	1.050 
15360	萝菽菽	跑起来，不要停	4:18:16	15496.65	1.415 
15361	Null None	也是现在你死的地方	4:18:18	15498.915	1.170 
15362	契	哈哈哈哈	4:18:19	15499.306	1.311 
15363	shuang li	哈哈	4:18:19	15499.367	1.495 
15364	龙骑士の喵	莫名其妙的死亡	4:18:19	15499.648	1.498 
15365	Viccloud Zhang	哈哈	4:18:24	15504.063	0.925 
15366	Tofu Guy	小怪比BOSS強 哈哈哈	4:18:24	15504.166	1.076 
15367	Albert Knight	不讲武德	4:18:25	15505.493	0.959 
15368	旅行-带着王总去旅行00	哈哈哈哈	4:18:26	15506.705	0.878 
15369	发定喜欢钻研的小朋友	你在犹豫什么	4:18:26	15506.732	0.887 
15370	萌发	往左走	4:18:28	15508.674	0.832 
15371	划水的西瓜君	左边水里有箱子	4:18:30	15510.597	0.856 
15372	王郁结	不讲武德	4:18:32	15512.557	0.755 
15373	chiyuan zou	直接往左边走上楼梯	4:18:34	15514.897	0.644 
15374	自动登记	过去现在和将来——死的地方	4:18:35	15515.311	0.638 
15375	zikun sang	直接去地下城吧这地方真啥好东西都没有	4:18:35	15515.9	0.845 
15376	龙骑士の喵	人不应该在同一个 地方跌倒两次	4:18:42	15522.329	0.551 
15377	龙骑士の喵	急了	4:18:50	15530.587	0.399 
15378	游离子	下墓记得点灯	4:18:56	15536.829	0.332 
15379	tengwei fu	跑了	4:18:56	15536.914	0.331 
15380	孤独时代的微醺	能屈能伸陈一发	4:18:57	15537.11	0.352 
15381	tengwei fu	他们不理你	4:18:59	15539.914	0.341 
15382	莫年	魔力油脂	4:19:3	15543.185	0.326 
15383	Lv Mo	这么播这游戏妥妥能播一年	4:19:3	15543.921	0.345 
15384	绵绵	哈哈哈哈哈哈哈哈哈哈	4:19:5	15545.403	0.332 
15385	Hua HAN	哈哈哈	4:19:5	15545.404	0.339 
15386	曾珂	楼梯上去	4:19:5	15545.71	0.428 
15387	MshaRp	哈哈	4:19:6	15546.971	0.610 
15388	magictom C	哈哈哈哈哈哈	4:19:7	15547.222	0.962 
15389	磐石	哈哈哈哈哈哈哈哈哈哈哈哈哈	4:19:7	15547.249	0.968 
15390	You K	哈哈哈哈	4:19:8	15548.089	0.911 
15391	Paul Wu	哈哈哈哈哈	4:19:8	15548.2	1.207 
15392	一发老公	好翻	4:19:8	15548.677	1.821 
15393	junhong ming	这个洞太难。 那个骨灰也一般般，可以通关再回来清	4:19:9	15549.152	1.912 
15394	Null None	gg	4:19:9	15549.898	2.225 
15395	Wang Pan	好接	4:19:10	15550.139	2.112 
15396	xi ze	哈哈哈哈	4:19:10	15550.167	2.244 
15397	osas wuwa	哈哈哈哈哈哈哈	4:19:10	15550.61	2.748 
15398	龙骑士の喵	西内	4:19:10	15550.804	2.792 
15399	sky kirado	你這時間抓的	4:19:11	15551.464	2.372 
15400	zikun sang	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	4:19:12	15552.101	2.493 
15401	划水的西瓜君	好接	4:19:12	15552.323	2.425 
15402	the dk	哈哈哈哈哈哈哈哈哈哈哈哈	4:19:13	15553.908	1.912 
15403	绵绵	好杀	4:19:13	15553.991	2.067 
15404	zikun sang	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	4:19:14	15554.468	2.188 
15405	夏染秋 Ace	？？？？？？？？？？	4:19:15	15555.024	2.047 
15406	发定喜欢钻研的小朋友	好翻滚	4:19:15	15555.553	1.857 
15407	倪楷哲	哈哈哈哈哈	4:19:15	15555.581	2.012 
15408	萝菽菽	这些怪不是现在能打过的...	4:19:15	15555.636	2.070 
15409	Q Samuel	哈哈哈哈哈	4:19:16	15556.108	2.153 
15410	晚了个安六七三七三	哈哈哈哈哈	4:19:17	15557.841	1.742 
15411	Viccloud Zhang	一刀死	4:19:17	15557.953	1.776 
15412	杨晟	碎星是什么??	4:19:18	15558.117	2.376 
15413	kq ch	哈哈哈哈哈哈	4:19:18	15558.593	2.173 
15414	kio yu	哈哈哈哈哈	4:19:18	15558.739	2.341 
15415	龙骑士の喵	百步穿杨	4:19:18	15558.766	2.672 
15416	孤独时代的微醺	怕不怕，陈老师	4:19:18	15558.794	3.085 
15417	绵绵	笑死	4:19:19	15559.606	2.484 
15418	瀧角散	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	4:19:19	15559.969	2.308 
15419	旅行-带着王总去旅行00	h哈哈哈哈！！！！！	4:19:21	15561.056	2.021 
15420	You K	急了急了	4:19:22	15562.385	2.201 
15421	Richard Yeung	哈哈哈	4:19:23	15563.772	1.719 
15422	lo achi	魂系最强的本来就是小怪	4:19:23	15563.799	1.760 
15423	孤独时代的恩达	红红火火恍恍惚惚	4:19:23	15563.83	1.909 
15424	夏染秋 Ace	timing	4:19:23	15563.858	1.954 
15425	蓝天秤	不讲武德	4:19:24	15564.36	1.788 
15426	shuang li	你接的好啊	4:19:26	15566.691	1.266 
15427	Null None	哈哈	4:19:26	15566.868	1.377 
15428	kq ch	红红火火恍恍惚惚或】】	4:19:27	15567.727	1.289 
15429	一发老公	射得好不如接得好啊	4:19:28	15568.119	1.416 
15430	莫年	快跑	4:19:29	15569.333	1.439 
15431	Hua HAN	让你血加40	4:19:29	15569.557	1.729 
15432	du kevin	你装备太差了	4:19:31	15571.133	1.364 
15433	Steven Zhang	快去退钱！！！	4:19:31	15571.777	1.258 
15434	shunjie yang	这就是过了关的风景吗	4:19:31	15571.832	1.254 
15435	划水的西瓜君	你直接下水拿箱子	4:19:32	15572.414	1.242 
15436	陕西抗麦郎	爆！	4:19:32	15572.687	1.668 
15437	孤独时代的白云苍狗	这里就是让人跑酷过的，比圣树强度还高的	4:19:32	15572.82	1.680 
15438	萌发	这才是真碎星 ，还有好几个	4:19:33	15573.215	1.822 
15439	cx y	碎星的弓箭老师	4:19:34	15574.834	1.489 
15440	Paul Wu	冲	4:19:38	15578.287	1.117 
15441	孤独时代的微醺	可能碎星是他们村最菜的	4:19:40	15580.422	0.920 
15442	ed	他和碎星一起学的，他主要学的重力箭	4:19:42	15582.921	0.848 
15443	龍祈	爆头了▄︻┻┳═一…… ☆(>○<)	4:19:43	15583.2	0.875 
15444	tengwei fu	拿东西 你逛街呢	4:19:43	15583.675	0.844 
15445	陈氏艺能大赏	正中红心 十环	4:19:45	15585.114	0.787 
15446	Null None	唉，有人死亡计数的么	4:19:45	15585.431	0.785 
15447	阿民台灣	好可愛被射死	4:19:46	15586.779	0.716 
15448	游离子	还是你接得好	4:19:46	15586.808	0.736 
15449	You K	碎星没出全力	4:19:48	15588.235	0.746 
15450	龙骑士の喵	求求你 放过他们吧，快跑	4:19:49	15589.746	0.873 
15451	曾珂	上楼梯j进门，然后第三个小门进去	4:19:50	15590.022	1.042 
15452	Richard Yeung	这个能举盾吗？	4:19:50	15590.329	1.350 
15453	十亿闪电法王	碎星小垃圾，伤害还得看这	4:19:51	15591.501	1.205 
15454	绵绵	都是一下秒你的	4:19:52	15592.274	1.163 
15455	犹鑫	发发 long time no see i miss you	4:19:56	15596.543	0.875 
15456	磐石	哈哈哈哈哈哈哈哈哈哈哈	4:20:0	15600.398	0.668 
15457	龙骑士の喵	求求你 放过他们吧，快跑	4:20:0	15600.452	0.731 
15458	段常仁儿	拉杆在那个弓箭手后边呢 不过要绕一大圈	4:20:1	15601.625	0.675 
15459	呱呱	挑	4:20:1	15601.652	0.745 
15460	Null None	gg	4:20:5	15605.761	0.624 
15461	划水的西瓜君	哈哈哈哈哈哈哈哈	4:20:5	15605.788	0.634 
15462	Paul Wu	死	4:20:7	15607.345	0.588 
15463	龙骑士の喵	手忙脚乱	4:20:9	15609.284	0.562 
15464	孤独时代的微醺	哈哈哈	4:20:12	15612.042	0.506 
15465	ed	他和碎星一起学的，他主要学的重力箭。	4:20:12	15612.321	0.634 
15466	You K	跳下去好像有东西吧	4:20:17	15617.907	0.571 
15467	Null None	为什么不能打	4:20:18	15618.047	0.568 
15468	一个白日梦懒狗	碎星：哼 凭运气打过我罢了	4:20:18	15618.438	0.595 
15469	孤独时代的恩达	哈哈哈哈哈	4:20:19	15619.978	0.546 
15470	Kitan	碎星還得控制天上的星星呢,大概只用一分力跟你打	4:20:20	15620.288	0.688 
15471	犹鑫	发发 好久没看到你。 居然在墙外看到了你了。	4:20:26	15626.321	0.487 
15472	孤独时代的微醺	再见	4:20:27	15627.51	0.496 
15473	Null None	是只能躲么	4:20:29	15629.305	0.499 
15474	莫年	跑	4:20:35	15635.071	0.434 
15475	磐石	这都没事	4:20:36	15636.789	0.409 
15476	莫年	run	4:20:38	15638.057	0.496 
15477	Finn Kuang	知道碎星为什么在外面吗？看门的罢了	4:20:40	15640.455	0.446 
15478	心路	经典喝血扛刀	4:20:42	15642.976	0.408 
15479	夏染秋 Ace	为什么不还手	4:20:43	15643.086	0.433 
15480	tengwei fu	跑起来 不要停	4:20:43	15643.484	0.431 
15481	萌发	有用的东西 一点没捡	4:20:44	15644.608	0.547 
15482	tengwei fu	run	4:20:44	15644.831	0.577 
15483	Albert Knight	民风淳朴的地方	4:20:46	15646.067	0.597 
15484	ed	你又死了	4:20:46	15646.711	0.859 
15485	一发老公	你瞎几把走	4:20:46	15646.969	0.982 
15486	Paul Wu	找机关	4:20:48	15648.242	0.982 
15487	John McLusky	跳出去	4:20:49	15649.413	1.116 
15488	G Woo	落地成盒	4:20:50	15650.75	1.286 
15489	绵绵	打BOSS才给啊	4:20:54	15654.058	0.911 
15490	ed	他和碎星一起学的，他主要学的重力箭。	4:20:54	15654.985	0.869 
15491	龙骑士の喵	走错了？	4:20:55	15655.484	0.919 
15492	孤独时代的微醺	哈哈哈哈哈	4:20:55	15655.908	0.903 
15493	Null None	gg	4:20:56	15656.815	0.930 
15494	红烧雪梨-	哈哈哈哈哈哈哈哈哈哈哈	4:20:56	15656.946	0.977 
15495	Wang Pan	哈哈哈哈哈哈哈哈哈哈	4:20:58	15658.138	0.895 
15496	MshaRp	这个地方就很宫崎英高了，之前都少了点味儿	4:20:58	15658.247	1.000 
15497	超总i	太难了	4:20:58	15658.468	1.104 
15498	Steven Zhang	哈哈哈哈哈哈哈哈快去退钱	4:21:0	15660.346	1.042 
15499	发定喜欢钻研的小朋友	哈哈哈	4:21:0	15660.442	1.566 
15500	段常仁儿	这里之前右边跳窗户	4:21:0	15660.914	1.687 
15501	萌发	换个地方吧 ，	4:21:1	15661.193	1.752 
15502	Sub Cheese	我是火车王	4:21:1	15661.22	1.883 
15503	萝菽菽	墓地铃兰6，宝物+1	4:21:1	15661.387	2.187 
15504	划水的西瓜君	瞎走	4:21:3	15663.109	1.623 
15505	Null None	是不是对方是无敌的	4:21:3	15663.165	1.989 
15506	ed	右边跳下去	4:21:3	15663.637	1.855 
15507	liamo pu	下次还骗你	4:21:4	15664.502	1.657 
15508	Hua HAN	？	4:21:4	15664.879	2.206 
15509	Tofu Guy	????	4:21:5	15665.715	1.896 
15510	Wang Pan	笨比	4:21:6	15666.082	1.935 
15511	绵绵	继续打呀	4:21:6	15666.163	2.012 
15512	chiyuan zou	屁都没拿到	4:21:6	15666.971	1.739 
15513	自动登记	你这开火车呢	4:21:8	15668.09	1.492 
15514	masaya yaguchi	该打就打啊 服了	4:21:8	15668.147	1.985 
15515	领养小乌龟的阿普	你就是他们的宝物	4:21:9	15669.851	1.496 
15516	Paul Wu	BOSS都没见呢	4:21:10	15670.272	1.507 
15517	shunjie yang	过了关的风景真好就看呐	4:21:11	15671.427	1.444 
15518	孤独时代的恩达	哈哈哈哈哈哈哈哈哈哈哈	4:21:12	15672.86	1.253 
15519	tengwei fu	走错了	4:21:13	15673.116	1.351 
15520	You K	啊这？	4:21:13	15673.507	1.347 
15521	龙骑士の喵	拿的差不多了？	4:21:14	15674.415	1.212 
15522	绵绵	打BOSS给传说级骨灰	4:21:14	15674.537	1.322 
15523	一个白日梦懒狗	可爱	4:21:15	15675.332	1.381 
15524	tengwei fu	左右不分	4:21:15	15675.39	1.381 
15525	旅行-带着王总去旅行00	哈哈哈	4:21:20	15680.753	0.917 
15526	瀧角散	跑了	4:21:21	15681.253	0.911 
15527	曾珂	走错了，上楼梯进门，第三个窗口跳下去	4:21:23	15683.807	0.808 
15528	Null None	原来打了那么久的不是最终boss？	4:21:24	15684.16	0.885 
15529	lo achi	宝箱都没开	4:21:24	15684.728	0.861 
15530	孤独星巴克	还差不多？差的还多着呢，连50%都没探索到	4:21:24	15684.728	0.891 
15531	cx y	里面的风景是给强者看的	4:21:26	15686.028	0.861 
15532	孤独时代的小瓜皮	怕了	4:21:26	15686.997	0.803 
15533	Richard Yeung	就这？	4:21:27	15687.465	0.824 
15534	J Y	去地下	4:21:27	15687.552	0.822 
15535	the dk	这等级太高了	4:21:29	15689.419	1.154 
15536	愛電玩	怕了	4:21:29	15689.798	1.170 
15537	石陈大海upup	这里面有个boss	4:21:30	15690.503	1.493 
15538	龙骑士の喵	情况不对，赶快撤退	4:21:32	15692.892	1.145 
15539	jun zhengj	？？？	4:21:33	15693.783	1.104 
15540	蟑螂	大蛇挺好打的 初始之王葛孚雷也还行	4:21:33	15693.895	1.091 
15541	萝菽菽	雾林	4:21:34	15694.455	1.187 
15542	陈氏艺能大赏	无目的逛街	4:21:35	15695.996	1.111 
15543	绵绵	继续老婆支线	4:21:36	15696.08	1.161 
15544	Null None	哈哈哈哈	4:21:36	15696.152	1.163 
15545	chiyuan zou	可以去神授塔	4:21:36	15696.189	1.477 
15546	Paul Wu	去见魔女	4:21:37	15697.282	1.336 
15547	划水的西瓜君	开宝箱啊至少	4:21:37	15697.336	1.463 
15548	夏染秋 Ace	回去	4:21:38	15698.171	1.894 
15549	Y	？	4:21:38	15698.917	1.948 
15550	tengwei fu	陨石坑	4:21:39	15699.499	1.784 
15551	MshaRp	哦？	4:21:39	15699.5	1.982 
15552	鄭光宏	最重要的東西沒拿到	4:21:39	15699.582	2.789 
15553	jun zhengj	真是服了	4:21:39	15699.946	2.587 
15554	龙骑士の喵	情况不对，赶快撤退	4:21:41	15701.029	2.050 
15555	孤独星巴克	该去永恒之城了	4:21:41	15701.169	2.008 
15556	sho7tw	？	4:21:41	15701.726	2.250 
15557	Tofu Guy	去隕石砸的那個洞	4:21:42	15702.03	2.130 
15558	我先跑路了	去星星坠落的地方	4:21:42	15702.307	2.418 
15559	Null None	interesting	4:21:42	15702.682	2.656 
15560	Kid Ye	？	4:21:43	15703.691	2.385 
15561	tengwei fu	星星降落的地方	4:21:44	15704.261	2.100 
15562	Paul Wu	？？？？？？？？？？	4:21:44	15704.568	2.006 
15563	jun zhengj	你走错啦	4:21:44	15704.737	2.087 
15564	段常仁儿	女武神还远着呢	4:21:44	15704.737	2.697 
15565	kq ch	？？？？？	4:21:46	15706.747	1.793 
15566	Keo	女武神远着呢	4:21:47	15707.089	1.865 
15567	J Y	女武神在最后了	4:21:47	15707.171	1.945 
15568	Y	？	4:21:47	15707.225	2.033 
15569	ed	女武神死1000次	4:21:47	15707.225	2.201 
15570	You K	里面的风景菜鸡看不到	4:21:48	15708.67	2.008 
15571	Mauser	去陨石坑	4:21:49	15709.753	1.821 
15572	倪楷哲	？	4:21:50	15710.542	1.674 
15573	tengwei fu	星星降落的陨石坑	4:21:51	15711.095	1.573 
15574	du kevin	？	4:21:51	15711.297	1.524 
15575	Viccloud Zhang	??	4:21:51	15711.379	2.159 
15576	孤独时代的恩达	？	4:21:51	15711.435	2.301 
15577	sho7tw	打１０天吧	4:21:51	15711.495	2.313 
15578	瀧角散	你连加强骑马哥都打不过	4:21:51	15711.692	2.239 
15579	shunjie yang	你怂了 女流	4:21:51	15711.952	2.116 
15580	绵绵	去海德要塞继续老婆的支线	4:21:52	15712.149	2.874 
15581	cx y	66打了三天，我觉得你应该要6天	4:21:53	15713.128	2.963 
15582	草民	我觉得你现在的实力该睡觉了	4:21:53	15713.574	3.298 
15583	孤独时代的微醺	你说得有点多了	4:21:54	15714.067	3.365 
15584	划水的西瓜君	哈哈哈哈哈哈哈哈	4:21:54	15714.094	3.575 
15585	Albert Knight	别，那要天亮了	4:21:54	15714.122	3.646 
15586	chiyuan zou	该去打神皮使徒了	4:21:54	15714.421	3.349 
15587	李壬	哈哈哈哈	4:21:55	15715.174	2.718 
15588	领养小乌龟的阿普	这么勇吗	4:21:55	15715.432	2.674 
15589	夜兔不睡觉	袜	4:21:55	15715.604	2.738 
15590	Leopold Yang	去找狼哥	4:21:55	15715.961	2.623 
15591	孤独时代的恩达	？？？？？？？？？	4:21:56	15716.516	2.952 
15592	J Y	去地下	4:21:56	15716.545	3.366 
15593	Mauser	去拿分身泪滴	4:21:58	15718.704	2.157 
15594	萝菽菽	传送到雾林，去星星坠落的地方	4:22:0	15720.954	1.458 
15595	我先跑路了	星星坠落的地方，雾林废墟	4:22:1	15721.781	1.306 
15596	Leopold Yang	去找狼哥	4:22:1	15721.92	1.334 
15597	wu gama	现在你去一刀就死	4:22:2	15722.48	1.369 
15598	呱呱	lss慢慢拿	4:22:3	15723.459	1.246 
15599	Kid Ye	过于膨胀	4:22:3	15723.771	1.224 
15600	蟑螂	等代练拿呗	4:22:5	15725.038	1.102 
15601	J Y	100+	4:22:5	15725.749	1.083 
15602	龙骑士の喵	没事，下次拿	4:22:6	15726.728	0.982 
15603	一个白日梦懒狗	好！那就直接淦女武神吧！	4:22:7	15727.672	1.115 
15604	chiyuan zou	该去打神皮使徒了	4:22:7	15727.952	1.429 
15605	曾珂	东西都没拿	4:22:8	15728.203	1.557 
15606	绵绵	差不多最后的BOSS	4:22:10	15730.385	1.181 
15607	Hua HAN	不要让主播尴尬了	4:22:10	15730.522	1.243 
15608	cc wang	50	4:22:12	15732.086	1.159 
15609	wu gama	100	4:22:13	15733.443	1.034 
15610	ed	200级也会死	4:22:14	15734.258	1.085 
15611	孤独星巴克	以你的实力62级打女武神，怕不是打到明年	4:22:14	15734.331	1.165 
15612	Null None	好东西留到最后再拿	4:22:14	15734.641	1.264 
15613	萌发	继续做老婆直线	4:22:14	15734.702	1.422 
15614	绵绵	通关才打	4:22:16	15736.184	1.215 
15615	Paul Wu	去魔女塔	4:22:16	15736.348	1.228 
15616	鄭文意	你會被女武神一刀秒	4:22:16	15736.937	1.526 
15617	Chang	1级交就行	4:22:17	15737.284	1.479 
15618	段常仁儿	狼哥在陨石坑下边	4:22:20	15740.983	1.124 
15619	萌发	做老婆支线	4:22:21	15741.751	1.204 
15620	chiyuan zou	神授塔打神皮使徒	4:22:23	15743.405	1.093 
15621	龙骑士の喵	去星星坠落的地方	4:22:24	15744.496	0.984 
15622	liamo pu	pdd80＋打的	4:22:24	15744.584	1.006 
15623	孤独时代的衰仔	100+	4:22:26	15746.05	0.881 
15624	蒋小墨	120	4:22:26	15746.134	1.005 
15625	shunjie yang	对你来说 最好等级越好越好吧	4:22:27	15747.315	0.912 
15626	chiyuan zou	神授塔打神皮使徒	4:22:27	15747.739	0.926 
15627	J Y	在出生的地图	4:22:28	15748.046	0.929 
15628	Lv Mo	女武神那个攻击前摇和移动速度。。。估计得趴一宿	4:22:28	15748.501	1.330 
15629	李壬	转角遇到鬼	4:22:28	15748.569	1.467 
15630	一秒一发	打完女武神后面播啥	4:22:31	15751.542	1.229 
15631	masaya yaguchi	女武神那伤害 碎星都顶不住几下啊……	4:22:31	15751.709	1.386 
15632	良縁	我6次過碎星，女武神打了4小時，最後還是靠老寒脚才過	4:22:32	15752.662	1.238 
15633	愛電玩	想太多	4:22:32	15752.966	1.446 
15634	绵绵	是	4:22:35	15755.379	1.082 
15635	kun wang	陈一发儿，不是在国内直播吗	4:22:35	15755.736	1.188 
15636	Leopold Yang	该去星星落下的地方找狼哥了	4:22:36	15756.496	1.142 
15637	sho7tw	不是．他去別邊了	4:22:36	15756.668	1.160 
15638	夏染秋 Ace	看到一刀秒我就睡觉	4:22:38	15758.015	1.051 
15639	zikun sang	去雾林	4:22:42	15762.108	0.739 
15640	Paul Wu	双熔炉干掉了吗	4:22:42	15762.166	0.941 
15641	Leopold Yang	该去星星落下的地方找狼哥了	4:22:43	15763.518	0.847 
15642	孤独星巴克	我日。。赣州代练太敬业了	4:22:44	15764.049	0.878 
15643	WinchesterSuprise0124	哟，都已经开了王城了啊	4:22:44	15764.491	0.868 
15644	J Y	在出生的地图	4:22:48	15768.238	0.778 
15645	You K	去雾林废墟正下方	4:22:54	15774.544	0.532 
15646	磐石	一点	4:22:56	15776.037	0.512 
15647	龙骑士の喵	《一点》	4:23:2	15782.184	0.392 
15648	划水的西瓜君	赣州代练不容易啊	4:23:2	15782.959	0.401 
15649	MshaRp	哈哈	4:23:3	15783.468	0.468 
15650	磐石	是是是	4:23:5	15785.342	0.431 
15651	cx y	66打了3天女武神	4:23:7	15787.434	0.418 
15652	萝菽菽	初始地图，雾林废墟	4:23:7	15787.756	0.422 
15653	Y	一点	4:23:8	15788.434	0.418 
15654	jun zhengj	确实	4:23:9	15789.043	0.481 
15655	Albert Knight	是是是	4:23:9	15789.957	0.649 
15656	Viccloud Zhang	一點?	4:23:10	15790.856	0.675 
